"","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.231445","X0.0712891","X1.00635","X.9.625","X.0.0625","X.1.25","X91","X103","X99","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.136719","X.0.0244141","X1.0332","X.0.875","X2.0625","X.0.125","X89","X97","X98"
"85",-14,15,48,2,1,-4,-12,-9,-0.249023,0.129883,0.92334,-4.0625,0.625,-2.8125,91,104,100,25,-5,-44,-49,-20,-5,-1,-7,-0.128906,0.319824,1.0835,61.5,33.0625,140.562,96,84,121
"86",11,17,-7,-1,1,-17,-12,-4,-0.278809,0.0473633,0.928711,-5.875,-7.0625,-2.875,91,104,100,-12,-43,-33,-26,-13,-11,7,4,-0.533691,0.35498,1.08203,20.6875,63.3125,68.5,97,88,124
"87",-6,4,-15,-3,-2,-2,-4,0,-0.265625,0.0878906,0.945801,-0.25,-6.6875,-5.875,91,104,100,-24,-57,-37,-47,-15,-6,6,44,-0.631836,0.330078,0.983887,12.0625,106.75,-24.4375,98,95,125
"88",2,22,14,2,5,55,0,9,-0.240723,0.0234375,0.98291,-5.75,-8.625,-3,91,104,100,30,-25,9,21,3,2,-1,8,-0.583008,0.332031,1.09424,32,81.3125,-52.75,98,100,125
"89",3,-4,-8,-4,-3,-5,3,-5,-0.25293,0.0205078,1.0293,-12.9375,-2.875,-1.9375,91,103,100,3,30,1,25,11,3,-4,-59,-0.0385742,0.405762,1.00732,18.125,6.375,-89.9375,99,106,120
"90",4,10,-6,-1,-3,-20,2,-3,-0.250977,0.0405273,0.978516,-1.625,-2.125,0.625,90,103,100,-22,-3,17,26,7,0,0,3,0.0327148,0.325684,0.967773,8.4375,0.0625,-67.4375,98,106,118
"91",-3,-6,-7,-3,-2,21,9,10,-0.250488,0.0327148,1.00146,-4.75,-1.75,1.375,90,103,100,-2,-67,-4,24,7,7,0,-7,-0.0244141,0.245605,0.951172,8.1875,2.1875,-19.1875,98,106,117
"92",3,-8,-9,1,0,-1,-5,7,-0.230957,0.0366211,1.00928,-1.9375,1.625,2.1875,90,103,100,-2,3,-18,-21,-3,-4,-5,-5,-0.114746,0.178711,0.956543,-3.5625,-1.5,-6.9375,98,105,117
"93",-14,10,5,3,4,14,-13,3,-0.237793,0.0356445,0.99707,0.375,2.9375,1.875,90,103,100,-3,14,-5,-11,0,-11,-2,-4,-0.169922,0.188965,1.00488,-29.625,-19.625,-5.875,97,104,117
"94",-6,36,0,5,1,-6,-11,-6,-0.243652,0.046875,0.976074,3.75,3.4375,1.8125,91,103,100,-4,0,-1,5,1,-10,-4,-3,-0.187012,0.172363,1.01172,-44.75,-46.8125,-22.8125,96,103,116
"95",5,3,21,3,-1,-4,9,2,-0.246094,0.0395508,0.971191,2.1875,3,1.5,91,104,100,-2,0,0,-3,2,3,0,0,-0.0576172,0.102539,0.975586,-66.4375,-79.4375,-43.3125,94,99,115
"96",5,0,3,-2,1,0,0,4,-0.244141,0.043457,0.987305,2.3125,3.125,2.0625,91,104,100,-1,-1,1,-3,-2,15,2,1,0.0551758,0.104004,0.979004,-69.1875,-73.4375,-66.5,92,96,113
"97",9,17,-1,3,1,5,4,6,-0.256348,0.0449219,0.976562,1.75,3.4375,2.3125,91,104,100,-1,-2,-2,-4,-2,-8,-3,-2,0.0473633,-0.0180664,0.983398,-51.5,-39,-74,90,92,111
"98",8,2,1,-3,-1,-9,20,-2,-0.248047,0.0522461,0.966309,1.9375,2.5,2.375,91,104,100,0,1,1,3,21,21,1,0,-0.0458984,0.015625,1.03857,-71.6875,3.4375,-94.125,89,92,108
"99",-31,-12,-5,-2,0,5,-3,-5,-0.253418,0.0444336,0.97168,0,0.75,2.125,91,104,100,-1,-2,-4,-3,18,49,3,0,-0.0615234,-0.11377,1.07617,-63.125,27,-86.0625,87,92,106
"100",4,-7,-14,-6,-1,27,-16,-15,-0.258789,0.0678711,0.962402,-2.0625,-0.3125,1.125,91,104,100,1,0,5,10,33,0,3,0,-0.288086,-0.0791016,1.00342,-19.0625,54.375,-96.25,86,95,103
"101",3,-9,-14,-3,-6,-14,-15,-12,-0.258789,0.0537109,0.97998,0.375,-1.625,1,91,104,100,-4,-8,-7,-11,32,6,-6,-4,-0.415527,-0.170898,1.02295,-9.5,49.75,-74.625,86,97,102
